Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,0385353308,9780385353304,4,4.07,Knopf,Hardcover,333,2014,2014,,5/4/2023,,,read,,,,1,0
20736640,"Dear Leader: Poet, Spy, Escapee - A Look Inside North Korea",Jang Jin-sung,"Jin-sung, Jang",Shirley Lee,147676655X,9781476766553,4,4.33,37 Ink,Hardcover,339,2014,2014,,5/4/2023,to-read,to-read (#2),to-read,,,,0,0
58862713,Cambridge Lower Secondary English Learner's Book 7 with Digital Access (1 Year),Graham Elsdon,"Elsdon, Graham",Esther Menon,1108746586,9781108746588,5,4.2,Cambridge University Press,Paperback,248,2021,,,5/4/2023,to-read,to-read (#1),to-read,,,,0,0
